GO_ID,SPECIES,local_cc_10,edges_10
GO_0055065,SP,0.124329024,0.264858977
GO_0055085,SP,0.166751836,0.02563028
GO_0055086,SP,0.161698384,0.281557415
GO_0061007,SP,0,0
GO_0061024,SP,0.131819474,0.25820767
GO_0065003,SP,0.118849637,0.096518523
GO_0071554,SP,0.062680821,-0.082176175
GO_0071941,SP,0,0
GO_0072659,SP,-0.252360506,-0.288599314
GO_0098542,SP,0,0
GO_0098754,SP,0.191418322,0.399159283
GO_0140013,SP,0.192083772,0.496894532
GO_0140014,SP,0.389273518,0.438213583
GO_0140053,SP,0.297912648,0.292609892
GO_1901135,SP,0.188987134,0.244802266
